AKT1	Actionable_genes
AKT2	Actionable_genes
AKT3	Actionable_genes
MTOR	Actionable_genes
TSC1	Actionable_genes
TSC2	Actionable_genes
FLCN	Actionable_genes
RHEB	Actionable_genes
STK11	Actionable_genes
FBXW7	Actionable_genes
PIK3CA	Actionable_genes
NF2	Actionable_genes
PIK3R1	Actionable_genes
PTEN	Actionable_genes
ATM	Actionable_genes
ATR	Actionable_genes
BRCA1	Actionable_genes
BRCA2	Actionable_genes
CDKN1A	Actionable_genes
CDKN1B	Actionable_genes
RB1	Actionable_genes
CDKN2A	Actionable_genes
CDK6	Actionable_genes
CDK4	Actionable_genes
CDKN2B	Actionable_genes
BAP1	Actionable_genes
SMARCA4	Actionable_genes
SMARCB1	Actionable_genes
PTCH1	Actionable_genes
SMO	Actionable_genes
IDH1	Actionable_genes
IDH2	Actionable_genes
NOTCH1	Actionable_genes
NOTCH2	Actionable_genes
GNA11	Actionable_genes
GNAQ	Actionable_genes
HRAS	Actionable_genes
KRAS	Actionable_genes
MAP2K1	Actionable_genes
MAP2K2	Actionable_genes
NF1	Actionable_genes
ARAF	Actionable_genes
MITF	Actionable_genes
RAF1	Actionable_genes
NRAS	Actionable_genes
BRAF	Actionable_genes
EGFR	Actionable_genes
MET	Actionable_genes
ERBB2	Actionable_genes
ERBB3	Actionable_genes
ERBB4	Actionable_genes
FGFR1	Actionable_genes
FGFR2	Actionable_genes
FGFR3	Actionable_genes
FLT3	Actionable_genes
IGF1R	Actionable_genes
KDR	Actionable_genes
KIT	Actionable_genes
PDGFRA	Actionable_genes
PDGFRB	Actionable_genes
RET	Actionable_genes
APC	Actionable_genes
CTNNB1	Actionable_genes
MYD88	Actionable_genes
DDR2	Actionable_genes
DNMT3A	Actionable_genes
EPHA3	Actionable_genes
EZH2	Actionable_genes
XPO1	Actionable_genes
SYK	Actionable_genes
VEGFR	Actionable_genes
